tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
2,334,הם,7,7,1111111,93,1.0,19,they,1,2
5,517,כל; כל אחד h*****,2,2,11,320,1.0,31,each,1,3
6,210,אלה **o**,6,5,110111,193,1.0,29,those,1,1
8,550,מי,3,3,111,661,1.0,48,who,1,2
9,218,בשביל,5,5,11111,341,1.0,32,for,1,1
12,710,לעשות to d; to m,0,0,,1492,1.0,95,to do; to make,1,3
14,206,זה *i,5,5,11111,27,1.0,16,it,1,2
16,395,רוב *****ma,3,3,111,864,1.0,58,majority,1,2
18,219,לעשות to d,7,7,1111111,194,1.0,24,to do,1,1
19,211,של,8,8,11111111,561,1.0,43,of,1,1
21,572,קו,2,2,11,701,1.0,50,line,1,2
22,223,אנחנו,6,6,111111,699,1.0,49,we,1,1
24,586,שולחן *****t,5,5,11111,90,1.0,19,table,1,2
27,509,כמו *****s,2,2,11,844,1.0,57,such,1,4
28,481,או,5,5,11111,218,1.0,25,or,1,1
31,395,רוב *****ma,3,3,111,862,1.0,58,majority,1,3
33,613,ילד/ה *****c,1,1,1,535,1.0,41,child,1,2
39,484,לקבל (ממישהו) to r,2,2,11,798,1.0,54,to receive,1,6
